publication,scenario,GWP,category,gas,region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
2021 CAR,WM,AR4,GrossTotal,Total,USA,MMTCO2e,6442.65,6373.62,6486.34,6604.35,6691.82,6775.86,6981.17,7036.51,7083.27,7125.4,7313.62,7202.96,7244.3,7301.36,7415.47,7423.03,7344.46,7449.62,7224.65,6772,6991.11,6827.4,6585.91,6764.67,6824.96,6671.11,6520.34,6483.29,6671.45,6558.35,6103.4,6263.48,6389,6311.37,6233.99,6190.94,6226.79,6204.89,6205.08,6207.11,6194.01,6188.92,6180.97,6186.27,6199.36,6191.74
2021 CAR,WM_highseq,AR4,LULUCF,Total,USA,MMTCO2e,-900.8,-898.61,-886.2,-867.45,-883.48,-855.32,-871.14,-855.82,-862.8,-856.57,-853.96,-852.28,-815.68,-837.04,-735.14,-788.05,-847.29,-798.8,-791.69,-756.24,-783.88,-800.56,-806.98,-788.55,-798.51,-763.85,-842.81,-766.06,-801.44,-789.23,-796.01,-794.19,-806.76,-809.93,-774.96,-824.48,-815.79,-839.47,-839.14,-848.52,-856.82,-868.63,-881.79,-890.3,-899.73,-918.02
2021 CAR,WM_lowseq,AR4,LULUCF,Total,USA,MMTCO2e,-900.8,-898.61,-886.2,-867.45,-883.48,-855.32,-871.14,-855.82,-862.8,-856.57,-853.96,-852.28,-815.68,-837.04,-735.14,-788.05,-847.29,-798.8,-791.69,-756.24,-783.88,-800.56,-806.98,-788.55,-798.51,-763.85,-842.81,-766.06,-801.44,-789.23,-784.1,-770.38,-771.05,-762.31,-715.44,-753.05,-730.7,-740.73,-726.75,-722.47,-717.12,-698.54,-681.31,-659.44,-638.48,-626.38
2021 CAR,WM_highseq,AR4,NetTotal,Total,USA,MMTCO2e,5541.85,5475.01,5600.15,5736.9,5808.34,5920.55,6110.02,6180.68,6220.47,6268.83,6459.66,6350.68,6428.62,6464.32,6680.33,6634.98,6497.17,6650.82,6432.96,6015.76,6207.22,6026.84,5778.92,5976.12,6026.45,5907.26,5677.53,5717.23,5870.01,5769.12,5307.39,5469.29,5582.24,5501.44,5459.03,5366.46,5411,5365.42,5365.94,5358.59,5337.19,5320.29,5299.18,5295.97,5299.63,5273.72
2021 CAR,WM_lowseq,AR4,NetTotal,Total,USA,MMTCO2e,5541.85,5475.01,5600.15,5736.9,5808.34,5920.55,6110.02,6180.68,6220.47,6268.83,6459.66,6350.68,6428.62,6464.32,6680.33,6634.98,6497.17,6650.82,6432.96,6015.76,6207.22,6026.84,5778.92,5976.12,6026.45,5907.26,5677.53,5717.23,5870.01,5769.12,5319.3,5493.1,5617.95,5549.06,5518.55,5437.89,5496.09,5464.16,5478.33,5484.64,5476.89,5490.38,5499.66,5526.83,5560.88,5565.36
2016 BR,WM,AR4,GrossTotal,Total,USA,MMTCO2e,6301,6270.6,6375.3,6501.7,6599.1,6695.1,6918.1,6965.2,6992.5,7054.9,7212.6,7111.6,7151.7,7179.8,7314.4,7350.1,7282.9,7400.1,7192.3,6722.3,6898.9,6776.7,6544.9,6673.1,6722.550653,6772.001306,6745.891131,6719.780955,6693.67078,6667.560604,6641.450429,6629.165633,6616.880837,6604.596041,6592.311246,6580.02645,6542.458493,6504.890536,6467.32258,6429.754623,6392.186666,,,,,
2016 BR,WM_lowseq,AR4,LULUCF,Total,USA,MMTCO2e,-775.8,-768.7,-757.9,-735.7,-788,-754.8,-766.8,-712.8,-671.1,-618.4,-641.2,-699.8,-787.3,-882.4,-920,-912,-973.8,-934.5,-894.6,-870.9,-871.6,-881.1,-880.5,-881.8,-905.0317857,-928.2635714,-951.4953571,-974.7271429,-997.9589286,-1021.190714,-1044.4225,-1017.1095,-989.7965,-962.4835,-935.1705,-907.8575,-864.0242,-820.1909,-776.3576,-732.5243,-688.691,,,,,
2016 BR,WM_highseq,AR4,LULUCF,Total,USA,MMTCO2e,-775.8,-768.7,-757.9,-735.7,-788,-754.8,-766.8,-712.8,-671.1,-618.4,-641.2,-699.8,-787.3,-882.4,-920,-912,-973.8,-934.5,-894.6,-870.9,-871.6,-881.1,-880.5,-881.8,-925.9225,-970.045,-1014.1675,-1058.29,-1102.4125,-1146.535,-1190.6575,-1192.7905,-1194.9235,-1197.0565,-1199.1895,-1201.3225,-1184.7358,-1168.1491,-1151.5624,-1134.9757,-1118.389,,,,,
2016 BR,WM_highseq,AR4,NetTotal,Total,USA,MMTCO2e,5525.2,5501.9,5617.4,5766,5811.1,5940.3,6151.3,6252.4,6321.4,6436.5,6571.4,6411.8,6364.4,6297.4,6394.4,6438.1,6309.1,6465.6,6297.7,5851.4,6027.3,5895.6,5664.4,5791.3,5796.628153,5801.956306,5731.723631,5661.490955,5591.25828,5521.025604,5450.792929,5436.375133,5421.957337,5407.539541,5393.121746,5378.70395,5357.722693,5336.741436,5315.76018,5294.778923,5273.797666,,,,,
2016 BR,WM_lowseq,AR4,NetTotal,Total,USA,MMTCO2e,5525.2,5501.9,5617.4,5766,5811.1,5940.3,6151.3,6252.4,6321.4,6436.5,6571.4,6411.8,6364.4,6297.4,6394.4,6438.1,6309.1,6465.6,6297.7,5851.4,6027.3,5895.6,5664.4,5791.3,5817.518867,5843.737735,5794.395774,5745.053812,5695.711851,5646.36989,5597.027929,5612.056133,5627.084337,5642.112541,5657.140746,5672.16895,5678.434293,5684.699636,5690.96498,5697.230323,5703.495666,,,,,
2014 CAR,WM,AR4,GrossTotal,CO2,USA,MMTCO2e,5100.657651,5050.599712,5156.956409,5267.899587,5354.530209,5416.10555,5602.469811,5677.532122,5715.828496,5788.858372,5962.736223,5862.922958,5903.36851,5951.501924,6070.381483,6100.324967,6024.156984,6119.369289,5935.298631,5509.643434,5728.184064,5603.943382,5496.443059,5506.45823,5504.112727,5536.343352,5501.110702,5542.482691,5580.402892,5621.812771,5638.309331,5641.509806,5670.246552,5687.221862,5693.436612,5695.779361,5702.545266,5702.748763,5700.822246,5707.86149,5722.333004,,,,,
2014 CAR,WM,AR4,GrossTotal,CH4,USA,MMTCO2e,758.8774007,760.5820797,762.3433186,753.8655508,762.3807438,753.4373145,749.888564,739.4979311,724.5797453,711.8859211,711.3672193,708.7155709,700.1445053,709.2796766,697.4358784,697.13476,710.868272,719.3810489,726.3076342,711.9789535,700.0855328,682.1680038,669.5065997,667.9404964,670.2305503,674.8437412,684.151653,690.770039,697.9611453,701.0967074,702.9058273,704.0457886,708.384239,711.9965077,714.7046798,717.7393262,720.7007598,724.1555681,724.9962289,726.8268924,729.7014648,,,,,
2014 CAR,WM,AR4,GrossTotal,N2O,USA,MMTCO2e,328.9671833,337.6530274,342.648681,382.8134684,358.1685407,370.8335802,383.0855586,372.6298888,349.9203666,348.4633424,335.4839058,339.0888841,341.5859198,332.653478,343.9735886,335.6480533,340.2924658,349.8589053,329.0985565,320.7988003,326.6408913,331.6205117,321.579685,322.9288797,321.6515367,321.1332434,321.6179464,322.90253,324.784572,325.7238312,326.5534627,327.5772759,328.6096809,329.8932777,331.1103939,332.2720783,333.6955135,335.0625713,336.4354282,337.8750411,339.313232,,,,,
2014 CAR,WM,AR4,GrossTotal,HFCs,USA,MMTCO2e,36.97180743,33.63293222,38.53248602,40.39661405,47.58388526,68.46953797,80.11330087,92.29898982,110.020923,109.8917008,115.9366514,112.8275439,120.6422089,116.8791198,126.9878911,129.2781228,130.6718752,134.7908291,132.3911456,127.2906943,137.8044515,146.1953868,154.3835494,165.203969,174.7391718,185.2518419,196.2298318,207.4646069,218.3369897,229.6820878,239.668841,256.9150351,271.4461793,282.9232012,294.5315363,313.2799445,319.8383286,332.016869,338.8734056,344.7448934,351.4316296,,,,,
2014 CAR,WM,AR4,GrossTotal,PFCs,USA,MMTCO2e,20.64587209,17.77473822,16.53987119,16.50773854,15.16717439,15.58625702,16.59862251,15.22003375,14.02526259,13.95653352,13.46766019,6.972235959,8.702423111,7.070657741,6.113794277,6.181959704,6.01659895,7.655931667,6.591559297,4.442534114,5.930052734,7.000645391,6.439939857,6.193734499,6.003030376,5.775634702,5.654384836,5.746173837,5.513204868,5.243584655,5.12357443,4.996097179,5.166966778,5.346379856,5.534763588,5.732566507,5.940259571,6.158337289,6.387318893,6.627749577,6.880201795,,,,,
2014 CAR,WM,AR4,GrossTotal,SF6,USA,MMTCO2e,31.1325244,29.81449723,29.99929012,29.48059705,28.04933594,26.6726708,25.95097227,24.27797938,21.41596157,21.75513605,17.9609543,17.18090101,16.22353211,15.91383162,14.78510156,14.29685403,13.05473781,11.72177518,10.87070404,9.364121928,9.606629306,8.94783705,8.833114676,8.995253109,8.974061276,9.115338243,8.951444614,8.803106967,8.769929099,8.828800975,8.816900421,8.844763194,8.93804685,9.033203903,9.130328023,9.229517563,9.373868839,9.520497242,9.669516626,9.82104654,9.975212512,,,,,
2014 CAR,WM,AR4,GrossTotal,Total,USA,MMTCO2e,6277.252439,6230.056987,6347.020056,6490.963555,6565.879889,6651.104911,6858.106829,6921.456945,6935.790755,6994.811006,7156.952614,7047.708094,7090.667099,7133.298687,7259.677736,7282.864716,7225.060934,7342.777779,7140.55823,6683.518538,6908.251622,6779.875767,6657.185948,6677.720562,6685.711078,6732.463151,6717.715963,6778.169147,6835.768733,6892.387783,6921.377937,6943.888766,6992.791665,7026.414432,7048.448313,7074.032794,7092.093996,7109.662606,7117.184144,7133.757113,7159.634745,,,,,
2014 CAR,WM_highseq,AR4,NetTotal,Total,USA,MMTCO2e,"5,495.80","5,443.40","5,576.60","5,718.40","5,752.50","5,868.10","6,059.20","6,143.90","6,220.70","6,361.40","6,506.90","6,332.00","6,260.60","6,197.40","6,275.90","6,310.20","6,307.30","6,451.50","6,265.10","5,820.90","6,038.40","5,912.30","5,807.40","5,822.70","5,834.70","5,879.20","5,861.90","5,927.10","5,981.70","6,030.60","6,050.60","6,068.30","6,118.80","6,144.10","6,164.20","6,197.70","6,199.90","6,216.90","6,217.00","6,233.30","6,258.30",,,,,
2014 CAR,WM_lowseq,AR4,NetTotal,Total,USA,MMTCO2e,"5,495.80","5,443.40","5,576.60","5,718.40","5,752.50","5,868.10","6,059.20","6,143.90","6,220.70","6,361.40","6,506.90","6,332.00","6,260.60","6,197.40","6,275.90","6,310.20","6,307.30","6,451.50","6,265.10","5,820.90","6,038.40","5,912.30","5,813.10","5,855.60","5,898.50","5,976.20","5,991.40","6,094.70","6,187.60","6,275.20","6,334.10","6,391.00","6,446.90","6,477.50","6,503.00","6,541.90","6,549.60","6,572.20","6,577.70","6,599.60","6,630.30",,,,,
2010 CAR,WM,AR4,GrossTotal,Total,USA,MMTCO2e,,,,,,,,,,,7143.961468,7166.566556,7189.171644,7211.776733,7234.381821,7256.986909,7279.277817,7301.568725,7279.891063,7258.2134,7236.535737,7270.606497,7304.677258,7338.748018,7372.818778,7406.889538,7446.269262,7485.648985,7525.028709,7564.408432,7603.788156,,,,,,,,,,,,,,,
2010 CAR,WM,AR4,NetTotal,Total,USA,MMTCO2e,,,,,,,,,,,6425.961468,6367.366556,6308.771644,6250.176733,6191.581821,6132.986909,6185.777817,6238.568725,6158.557729,6078.546733,5998.535737,6036.606497,6074.677258,6112.748018,6150.818778,6188.889538,6229.869262,6270.848985,6311.828709,6352.808432,6393.788156,,,,,,,,,,,,,,,
2006 CAR,Full Implementation,AR4,GrossTotal,Total,USA,MMTCO2e,,,,,,,,,,,7074.896774,7040.904301,7006.911828,7086.51321,7166.114593,7246.398464,7326.682335,7406.966206,7487.250077,7567.533948,7647.817819,7728.10169,7808.385561,7886.452112,7964.518664,8042.585215,8120.651767,8198.718318,8276.784869,8354.851421,8432.917972,,,,,,,,,,,,,,,
2006 CAR,Full Implementation,AR4,NetTotal,Total,USA,MMTCO2e,,,,,,,,,,,6314.896774,6276.404301,6237.911828,6312.01321,6386.114593,6463.148464,6540.182335,6617.216206,6694.250077,6771.283948,6848.317819,6925.35169,7002.385561,7092.577112,7182.768664,7272.960215,7363.151767,7453.343318,7543.534869,7633.726421,7723.917972,,,,,,,,,,,,,,,
